customer_id,review_id,Review_text,HostelNumber,review_date,review_language
10983165,4344334,there is not 24 reception staff was not always stay at there,28642,2011-12-26 19:46:14,English
11138493,4350334,i booked a private double room but i totally didn t know that there is no wifi in the room and only adsl is available unfortunately my own computer is now very good at connecting to network via adsl and thus i suffered the poor network connection for the whole night which also ruined my day after perhaps their dormitory is better than private room,36596,2011-12-31 05:51:19,English
11225715,4352934,could be cleaner but besides that the staff there is so friendly,36373,2012-01-01 23:34:22,English
8053747,4358334,sporco e mancanza di acqua calda in pieno dicembre,18768,2012-01-04 06:34:14,Italian
8370313,4362734,very poor stinking bedrooms breakfast very small we were very disappointed furthermore you have to pay everything like leaving bags during the afternoon or checking out few minutes late and to crown it all you get fine if you break their rules this hostel motto is smile is the way to solve many problems silence is the way to avoid many problem if you can don t go choose another one,40823,2012-01-05 16:15:07,English
11228346,4363534,this is a great hostel one of the best facilities are great and it is nice and quiet a real community feel to the place i would reccommend,4651,2012-01-06 00:21:04,English
9490186,4367334,i dont know what more i could ask from a hostel the location were good the hostel was charming with a nice roof garden and a cosy bar in the reception area but the best of it all were the staff they were really helpfull and made an effort to make everyone comfortable,16290,2012-01-07 16:12:21,English
11212562,4368734,i was at ganbara on a wednesday which meant it was very quiet at reception i was proposed a 4 bed room all for myself very nice atmosphere is good all the employees very helpful great common area with tv boardgames foosball table computers wifi works well breakfast in the morning is basic but very good there s a nice kitchen where you can cook your own meals ganbara is a 10 minute walk away from the casco viejo and other important parts of bilbao highly recommended,50299,2012-01-08 09:47:52,English
10905991,4369534,without doubt the worst hostel we have stayed in during 3 months the room was dirty especially the bathroom the whole building is very tired and needs rewiring and generally cheering up we found the staff friendly in the main but when there was an electrical fault in our room they were dismissive and we had to be very persistent in getting them to take action added to this we had people throwing up in the corridor outside our room at 4am on 2 nights out of 3,6538,2012-01-08 16:08:01,English
6982960,4372534,great location near the mezquita and the river,24475,2012-01-09 18:58:25,English
10935300,4372934,recommended,49635,2012-01-09 23:03:37,English
2859487,4376534,the bar staff seemed to treat the bar as a place to give their local mates some free ones to start their night othewire great place to stay,14440,2012-01-11 11:38:42,English
9099191,4377334,i booked 8 beds dorm the location is pretty good it is clean place nice baths and toilets but never try to buy anything in hostel s bar they are incredible expensive,792,2012-01-11 18:15:09,English
4627364,4378934,very nice hostel most staff are very friendly and helpful very well looked after great location nice atmosphere the only negative side was a 2 hour delayed check in would defenitely recommend the hostel but be aware that the beds probably wont be ready at 1,43832,2012-01-12 13:57:22,English
11260223,4380334,un hostal muy bueno en relacia n a su precio ubicado en el casco viejo de san sebastia n a pie de los lugares de ma s intera s las habitaciones eran muy ca modas y limpias y el personal muy amable,4435,2012-01-13 10:16:31,English
11245537,4383934,the person who charged there is really nice and friendly with politeness,18768,2012-01-15 19:29:47,English
11219384,4385734,there were several major problems with this hostel 1 the map on the website shows a different place from the address 2 the phone number on the website was no good 3 there was mold on the bedroom walls 4 there was no soap in the bathrooms or the kitchen 5 someone left their porn magazine on the table in the coffee tea room but on the positive side 1 the office was still open for checkin at midnight 2 the arab staff were very friendly and helpful even to a jew like me,44088,2012-01-16 19:29:36,English
3956092,4389334,hostel easy to find from the directions but it takes more like 13 minutes walking briskly from train station man at reception really friendly talkative reception was in different building to our room more signage on all doors would be helpful none of the beds in the dorm had clean sheets room hadn t been cleaned from last guests blood stain on bed sheets x1 bin full pizza boxes bathroom doesn t look like it get s regularly cleaned bin full etc clean towels were provided,3825,2012-01-18 18:03:56,English
11252265,4390334,esta bien ubicado la paella que cocinaron esa noche muy rica y el hostel esta muy bien considerando el precio de todos modos estuve muy poco en caso de volver a malaga me alojaria de nuevo aca,10097,2012-01-19 08:53:23,Spanish
8549700,4390934,great hostel with a good location staff was excellent with their recommendations where to go and what to see sure go here again next time thanks,43233,2012-01-19 15:32:46,English
