hostelnumber,num_reviews,description,score,features,policies
17,2289,"Home Youth Hostel Valencia by Feetup Hostels offers dormitory accommodation with a maximum of 4 beds in each room and no bunk beds! We're situated in the Barrio El Carmen just a few seconds from the famous Central Market and Silk Market, within easy walking distance from the train station and a short ride from the bus station. Our hostel has a laidback atmosphere with a warm and helpful staff ready to help you and give hints about bars, sights, the best beaches and sounds of Valencia. If you want to spend a lazy day indoors, feel free to lay down in our lounge, watch a movie or just cook whatever you're craving in our fully-equipped kitchen. We also have free internet access, bicycle rental, a tours desk and luggage storage! If all places are reserved, do not hesitate to contact our partner Hostel: Home Backpackers which you can also find here on Hostelworld website!",92,24 Hour Reception|Adaptors|Air Conditioning|Bicycle Hire|Bicycle Parking|Board games|Book Exchange|Cafe|Card Phones|Common Room|Cooker|Dryer|DVD's|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free WiFi|Fridge/Freezer|Hair Dryers|Hot Showers|Internet Access|Iron/Ironing Board|Key Card Access|Late check-out|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Microwave|Reading Light|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire|Vending Machines|Washing machine|Wi-Fi,Credit Cards Accepted|No Curfew|Non Smoking
19,153,"Hostal Marlasca is just in the heart of Madrid, just 2 minutes walking from SOL metro station and less than 15 minutes walking distance from Plaza Mayor, Royal Palace, Gran Via, Retiro Park, la Latina, Prado and Reina Sofia Museum, etc. Thanks to its location, you will able to visit the main attractions of our lovely City and his main shopping area, without using public transport. All the museums, shopping area or Royal Palace walking distance. We offer free WIFI, Full bathroom, Plasma TV, and safe box inside every room, 24 hours open reception, drinks & food vending machine. Hostal Marlasca is open since 1929, clean and serious family guesthouse in Madrid. We also are associated with guesthouse in Barcelona.",90,24 Hour Reception|Air Conditioning|Airport Transfers|Breakfast Not Included|Elevator|Free City Maps|Free WiFi|Laundry Facilities|Safe Deposit Box|Towels Included,Credit Cards Accepted|No Curfew
22,176,"Hoffmanns Hostel is a small hostel run by a traveler and archeologist, Ole Hoffmann. Because it is so small it provides travelers with good private accomodation for a very small fee. Hoffmanns provides travelers with a safe relaxed atmosphere that is appropriate for all travelers, especially those looking for a cheap and comfortable place to stay. All beds are 22.50 per night including linen. There are 4 rooms with 2 beds in each room. Our location is perfect for sightseeing in Berlin. Our tram stop is just 2 blocks away and the hostel is just 15 minutes from central Berlin via tram. Hoffmanns Hostel is quiet and comfortable, off the beaten track of busy Berlin. All of the buildings are in a private courtyard. The main building holds the rooms. The kitchen and common area are in another building just 10 meters away and there is an outdoor garden area with table and chairs. There are also lockers in each room as well as a luggage storage area and a free car park. And we have no curfew. You will find what you need close to Hoffmanns Hostel. Although we are too small to have on-site food or breakfast services, there are good facilities very close-by. - There is a bakery on the same block - There are 2 grocery stores within 2 blocks - There are many shops and resturaunts on Berliner Allee, just 2 blocks away The staff (Ole and a few friends) are very friendly. If you have other needs, just ask and they will do what they can to help you. Please note we do not accept credit cards payments. See you soon at Hoffmanns Hostel!",91,24 Hour Reception|BBQ|Bicycle Parking|Breakfast Not Included|Common Room|Free Internet Access|Games Room|Self-Catering Facilities|Linen Included|Security Lockers|Luggage Storage|Meeting Room|Outdoor Terrace|STEAMROOM|Towels for hire|Towels Included,Credit Cards Not Accepted|No Curfew|Non Smoking
27,222,"Hotel Yllen Eiffel is located between the Montparnasse business district, the Eiffel Tower and the Parc des Expositions de Versailles. Inside its neoclassical architecture, we combine charm, warmth and modern comforts. We have 38 rooms in total - 4 singles, 12 doubles, 9 twins, 11 triples, 1 room for 4 persons and 1 small suite. All rooms are air conditioned, equipped with marble bathrooms, shaver point (220V), free Internet wired access, direct dial phone, satellite TV with LCD screen, wifi, hair-dryer, mini-bar, tea/coffee facilities, personal safe and we offer an efficient and personalized service 24hours/24. New, in all bathroom there is an electric towel dryer.",100,24 Hour Reception|Air Conditioning|Airport Transfers|Free Breakfast|Breakfast Not Included|Business centre|Cots available|Elevator|Telephone/Fax Facilities|Free Internet Access|Free WiFi|Hair Dryers|Housekeeping|Internet Access|Laundry Facilities|Luggage Storage|Minibar|Safe Deposit Box|Tea & Coffee Making Facilities|Wheelchair Friendly,
31,144,"This beautiful house from the 13th century is located a few meters from the main square in the center of town. Our services: linen, lockers and showers included no curfew equipped kitchen courtyard book exchange internet access laundry service bar open daily with occasional live music balcony with a romantic view of the castle restaurant with international cusine",81,Bar|Common Room|Games Room|Hot Showers|Internet Access|Self-Catering Facilities|Security Lockers|Restaurant|Vending Machines,Credit Cards Accepted|No Curfew
37,116,"The Hotel Beaunier is located on a quiet, typical street but just a few steps away you will find all kind of entertainment in Montparnasse and Saint Germain des Pres. If you come for business, there is also direct access to the exhibitions centre 'porte de Versailles'. All our rooms have bathroom with hair dryer, direct-dial phone, alarm clock, flat led tv 61cm (with TNT, BBC, RTL, Eusp), FREE WIRELLESS in each rooms. Please Note: Visitors Taxes of €1 per person/day are not included in our room rates. Please Note: We will pre-authorise the first night stay on your creditcard after booking. The amount is not charged on your credit card but stuck to cover any cancellation fees out of time",0,Breakfast Not Included|Telephone/Fax Facilities|Free WiFi|Hair Dryers|Housekeeping|Luggage Storage,Credit Cards Accepted|Non Smoking|Taxes Not Included
41,50,"Situated inland of Deiva Marina, only 3 km from the Sea, the Camping Village Valdeiva offers its guest a quite and peaceful rest, together with the possibility of easy excursions by train or motor-boat to the National Parc of Cinque terre , Portovenere and Portofino. A private and free BUS SERVICE, in a few minutes, connects our Campingplace with the beach and the railway station of Deiva all year round. We offer to our guests accommodation like Bungalows,caravans,chalet, all with cooking facilities and private bathroom some with shower. Our services: restaurant-pizzeria (open from 15th june to 15th September) swimming-pool (open from 15th june to 15th September) Children playground free car parking free hot showers safety box ironing-room coin washing machine and tumble dryer mini-market (open from 15th June to 15th September) Free internet point Free wifi connection all over the campsite Check in 2pm till 7pm Check out 10am, Breakfast not included, Cancellation policy: 24 hours before arrival",87,Free Internet Access|Free Parking|Free WiFi|Linen Included|Swimming Pool,Credit Cards Accepted|No Curfew
44,125,"Hostal Costa Azul is located in the centre of Granada, 50 meters from the town hall and Carmen Square, in the old and beautiful San Matias Quarter. In the heart of the commercial and cultural centre of Granada, it offers numerous leisure alternatives such as visits to monuments and museums or the enjoyment of the Grenadian cuisine and the atmosphere of the old Arab market (ALCAICERA). The property has 3 floors and was built at the beginning of the 20th century but all rooms are completely renovated. It disposes of an interior patio with a fountain, trees and plants. Nightlife area is very near the hotel. You don\'t need a car; you can go walking to the main discos, pubs and \'tapas\' bars. There is a cleaning and ironing service. In our reception, we have a public telephone and everyday we offer a varied menu in our restaurant for clients who want to eat at the property. In addition, we have a fax and internet service. We can reserve tickets to the Alhambra and Tourist Voucher for clients who request it. Please, let us know if you want to cancel at least 7 days in advance. Parking costs 16,50€ per night and car",0,24 Hour Reception|24 Hour Security|Air Conditioning|Cable TV|Cots available|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free WiFi|Hair Dryers|Internet Access|Laundry Facilities|Luggage Storage|Parking|Safe Deposit Box|Towels Included|Wheelchair Friendly,Credit Cards Accepted|Pet Friendly|Taxes Included
47,722,"Hotel Gerando is a small, friendly hotel ideally located in the heart of Montmartre at the foot of the Sacre Coeur and just around the corner from the Busabout pick-up point. This 2-star hotel has recently been renovated. All rooms have bath or shower, WC, colour satellite television and direct dial telephone. The Hotel Gerando is noted for its friendly and discreet service. Our professional staff will welcome you and ensure that your stay is pleasant and enjoyable. The lounge is an ideal setting in which to relax and unwind, after a busy day sight-seeing or on business. Our facilities: Baby Listening (provided on request) Business Facilities (photocopier and fax machine) Car Parking (nearby) Elevator/Lift (for all guests) Pets Allowed (in guest bedrooms) Shops (nearby) Please Note: We will pre-authorise the first night stay after booking. Check in from 14.00hrs",80,24 Hour Reception|24 Hour Security|Breakfast Not Included|Cots available|Direct Dial Telephone|Elevator|Free City Maps|Free Internet Access|Free WiFi|Hair Dryers|Internet Access|Key Card Access|Luggage Storage|Safe Deposit Box,No Curfew|Non Smoking|Taxes Included
50,1137,"Popular Hotel and Hostel in the center of the Art-Deco and Nightlife district of famous South Beach. All attractions are in walking distance, just 1 block from the beach. We have an olympic size swimming pool and an outdoor common kitchen and patio. We require a valid passport from our guests who would like to stay in the dormitory at check-in. Open 24hours, no curfew, 1 minute from beach, in the center of the Art-Deco- and Nightlife district, Kitchen, BBQ, big swimming pool, Clean rooms all with air conditioning, private bathroom and phone, free linen. 'Gorgeous rooms' (Hostels USA) 'Darn worth the extra $1' (Lonely Planet) All rooms are air conditioned and have their own bathroom and telephone. Private rooms have cable tv. The private room for 4 persons has 2 queen size (double-) beds, and not 4 separate beds. If you book beds in the dormitory then we will do our best to honor your request to stay in the same room or to share your room only with females/males. Unfortunately in peak season this is not always possible. We are just a few steps to the beach, between Ocean Drive and Lincoln Road. Exactly located across the street from the new Convention Hotel ('Loews Hotel') and near the Miami Beach Convention Center. Our rates do not include the taxes of 13%. If you can not show up for your reservation please cancel your reservation per fax or email at least 3 days prior your arrival date to avoid the charge of 1 nights stay and taxes to your credit card. Taxes of 14% are not included in the quoted rates. We require a valid passport from our guests who would like to stay in the dormitory at check-in. we might take pre-authorizations on credit card",77,24 Hour Reception|24 Hour Security|Air Conditioning|Airport Transfers|Breakfast Not Included|Card Phones|Common Room|Elevator|Late check-out|Linen Included|Security Lockers|Luggage Storage|Outdoor Swimming Pool|Reception (limited hours)|STEAMROOM|Swimming Pool|Tours/Travel Desk|Wheelchair Friendly,Credit Cards Accepted|No Curfew|Taxes Not Included
