customer_id,review_id,total_score,review_text,HostelNumber,review_date,review_language
2982802,6746579,69,nice place overall lots of holes in the wall so not really sure what that was about they give you a towel which was cool a decent place to stay for brief amounts of time,25260,2014-10-26 07:00:01,English
2982802,6754413,71,nice place to stay especially for the cost 20 people in one room is a bit much but it s easy to get over with earplugs overall the staff was nice and professional there s a curfew at 4am but i didn t find that to be a problem at all the showers are my biggest complaint there s very limited room and we re very clean,46722,2014-10-29 12:12:07,English
2982802,6745130,91,my favorite this about this place was the staff they were so helpful and really knew what to suggest and where to go it s definitely worth a stay and i ll probably stay here again when i come back to brussels i was a solo traveller but everyone was very nice and i was able to meet a couple people in the common area only thing i didn t like was the cleanliness of the kitchen but even that is more due to the people staying there than the hostel staff,14418,2014-10-25 08:28:42,English
3291002,8767354,77,pool was not too clean we had a 8 bed dorm unfortunatelly without window room 7 we can highly recommend the streetfood tour staff was very friendly and helpful unfortunatelly a wallet and sunglasses of one of our group members had been taken after having it left by the pool,73676,2016-04-11 04:37:45,English
3291002,8825337,86,pro great place to relax in a beautiful and quiet place perfect to relax hammocks all over the site pool chillout music all day long possebillity for bbq cooking the offered breakfast was always delicous con remote hard to get there and away taxi from manizales terminal 70 000 no public transport so always in need of transport by hostel or taxi onsite food and drinks quite expensive offered tours very expensive,263867,2016-05-01 22:54:36,English
4040802,6327002,91,very helpful staff the coupon for the emp they provide was awesome and the curtains around each bed was really nice for privacy since i was travelling alone,17621,2014-05-24 04:00:03,English
4040802,6225037,63,the location was good a short walk away from union station however once we arrived to dc we learned that the hostel is in an area that used to be really run down and unsafe it apparently is getting better but is considered to be still a bit unsafe we got to the hostel at 2am and the staff was there to help us settle in which was really great i ve personally never been in a room with so many people 12 beds and it was hard to sleep because someone was always snoring decent stay,49367,2014-04-12 18:09:54,English
4689602,6095053,100,gracias por ser bastante amables todos fueron de mucha ayuda e hicieron de nuestra estancia en el hostal un momento inolvidable graciasa,32098,2014-01-15 17:24:38,Spanish
4689602,5212416,94,el servicio de la cafeteria es muy buenoa a las habitaciones son bastante comodas el staff increible todos son muy amables y muy lindos es bastante conveniente quedarse ahi por la cercania de la estacion del metro a a,1850,2013-01-06 18:26:05,Spanish
4689602,5212430,86,la gente del staff siempre muy serviciales aunque tienen muchas reglas algo extraa as en realidad si vas de vacaciones y tu idea es andar paseando y llegar a descansar y baa arte al hostal esta bastante recomendable el hostala,4547,2013-01-06 18:33:17,Spanish
